"PVWatts Hourly PV Performance Data"
"Requested Location","Turin"
"Location","Lat, Lng: 45.05, 7.66"
"Latitude (DD)","45.05"
"Longitude (DD)","7.66"
"Elevation (m)","258"
"DC System Size (kW)","0.5"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0.1","0.9","0.2","0","0.1","0","0"
"1","1","1","0","0","-1.8","1.1","0.2","0","-1.8","0","0"
"1","1","2","0","0","-1.7","1.1","0.2","0","-1.7","0","0"
"1","1","3","0","0","-1.7","1","0.2","0","-1.7","0","0"
"1","1","4","0","0","-1.7","0.9","0.2","0","-1.7","0","0"
"1","1","5","0","0","-1.6","0.9","0.2","0","-1.6","0","0"
"1","1","6","0","0","-1.6","0.9","0.2","0","-1.6","0","0"
"1","1","7","0","0","-1.5","1","0.2","0","-1.5","0","0"
"1","1","8","0","0","-1","1.2","0.2","0","0","0","0"
"1","1","9","0","5","0.4","1.3","0.2","4.638","0.531","1.817","0.754"
"1","1","10","0","7","1.3","1.6","0.2","6.498","1.472","2.61","1.518"
"1","1","11","0","28","1.5","1.5","0.2","26.034","2.206","11.049","9.638"
"1","1","12","2","120","1.7","1.5","0.2","118.708","4.918","52.74","49.758"
"1","1","13","0","44","1.6","1.5","0.2","40.946","2.71","17.656","15.996"
"1","1","14","0","55","1.6","1.3","0.2","51.217","3.054","22.272","20.439"
"1","1","15","0","11","1.3","0.8","0.2","10.21","1.628","4.133","2.984"
"1","1","16","0","22","0.8","0.5","0.2","21.749","1.464","6.165","4.939"
"1","1","17","0","0","0.3","0.5","0.2","0","0.3","0","0"
"1","1","18","0","0","0","0.7","0.2","0","0","0","0"
"1","1","19","0","0","-0.2","0.8","0.2","0","-0.2","0","0"
"1","1","20","0","0","-0.4","0.9","0.2","0","-0.4","0","0"
"1","1","21","0","0","-0.7","1","0.2","0","-0.7","0","0"
"1","1","22","0","0","-1","1","0.2","0","-1","0","0"
"1","1","23","0","0","-1.1","1.1","0.2","0","-1.1","0","0"
"1","2","0","0","0","-0.9","1.1","0.2","0","-0.9","0","0"
"1","2","1","0","0","-0.6","1.1","0.2","0","-0.6","0","0"
"1","2","2","0","0","-0.6","1.2","0.2","0","-0.6","0","0"
"1","2","3","0","0","-0.5","1.3","0.2","0","-0.5","0","0"
"1","2","4","0","0","-0.1","1.4","0.2","0","-0.1","0","0"
"1","2","5","0","0","0.3","1.5","0.2","0","0.3","0","0"
"1","2","6","0","0","0.6","1.6","0.2","0","0.6","0","0"
"1","2","7","0","0","0.9","1.9","0.2","0","0.9","0","0"
"1","2","8","0","0","1.1","2.2","0.2","0","0","0","0"
"1","2","9","4","64","1.7","2.7","0.2","66.021","3.104","28.566","26.495"
"1","2","10","0","41","2.3","3.1","0.2","38.146","3.06","16.396","14.784"
"1","2","11","0","68","2.8","2.9","0.2","63.361","4.106","27.632","25.596"
"1","2","12","0","66","3.2","2.6","0.2","61.49","4.536","26.708","24.707"
"1","2","13","7","143","3.1","2.3","0.2","148.661","6.516","66.23","62.739"
"1","2","14","1","77","2.8","1.7","0.2","74.096","4.723","32.466","30.248"
"1","2","15","0","42","2.4","1.3","0.2","39.098","3.507","16.615","14.995"
"1","2","16","0","22","2.2","1.1","0.2","21.612","2.762","6.089","4.866"
"1","2","17","0","0","2.2","1","0.2","0","2.2","0","0"
"1","2","18","0","0","2.2","1","0.2","0","2.2","0","0"
"1","2","19","0","0","2.3","1","0.2","0","2.3","0","0"
"1","2","20","0","0","2.5","1.1","0.2","0","2.5","0","0"
"1","2","21","0","0","2.7","1.1","0.2","0","2.7","0","0"
"1","2","22","0","0","2.8","1.1","0.2","0","2.8","0","0"
"1","2","23","0","0","3","1.2","0.2","0","3","0","0"
"1","3","0","0","0","3","1.2","0.2","0","3","0","0"
"1","3","1","0","0","2.7","1.3","0.2","0","2.7","0","0"
"1","3","2","0","0","2.3","1.4","0.2","0","2.3","0","0"
"1","3","3","0","0","2","1.7","0.2","0","2","0","0"
"1","3","4","0","0","1.8","1.8","0.2","0","1.8","0","0"
"1","3","5","0","0","1.7","1.6","0.2","0","1.7","0","0"
"1","3","6","0","0","1.6","1.3","0.2","0","1.6","0","0"
"1","3","7","0","0","1.5","1.1","0.2","0","1.5","0","0"
"1","3","8","0","0","1.6","0.9","0.2","0","0","0","0"
"1","3","9","0","37","2","1.1","0.2","34.432","3.022","14.534","12.993"
"1","3","10","2","76","2.4","1.4","0.2","73.814","4.448","32.375","30.161"
"1","3","11","0","19","2.7","1.5","0.2","17.657","3.179","7.342","6.072"
"1","3","12","0","34","2.9","1.5","0.2","31.626","3.757","13.423","11.923"
"1","3","13","1","172","3","1.6","0.2","178.934","7.744","79.742","75.741"
"1","3","14","0","67","3.1","1.5","0.2","62.998","4.808","27.42","25.393"
